"","V1","V2","V3","V4","V5","V6"
"1",1,1,1,1,1,1
"2",1,1,1,2,8,11
"3",1,1,1,3,3,3
"4",1,1,1,3,6,12
"5",1,1,1,5,5,5
"6",1,1,1,9,9,9
"7",1,1,1,17,17,17
"8",1,1,2,2,2,4
"9",1,1,3,3,3,7
"10",1,1,5,5,5,13
"11",1,1,5,8,10,11
"12",1,1,5,14,19,20
"13",1,1,6,7,9,12
"14",1,1,14,17,19,20
"15",1,2,2,2,4,7
"16",1,2,2,4,10,11
"17",1,2,2,10,19,20
"18",1,2,4,5,5,7
"19",1,2,4,7,11,11
"20",1,2,4,7,20,20
"21",1,2,5,7,8,13
"22",1,2,7,16,20,20
"23",1,2,8,10,10,11
"24",1,2,11,19,19,20
"25",1,3,3,3,4,4
"26",1,3,3,3,7,13
"27",1,3,3,4,6,7
"28",1,3,3,7,10,12
"29",1,3,4,6,9,13
"30",1,3,6,10,10,12
"31",1,3,7,9,9,13
"32",1,4,5,5,7,14
"33",1,4,6,6,6,7
"34",1,4,6,7,12,12
"35",1,4,7,8,8,14
"36",1,4,10,11,11,11
"37",1,5,5,5,7,7
"38",1,5,5,7,11,13
"39",1,5,8,10,11,13
"40",1,6,7,9,12,13
"41",1,7,7,8,11,14
"42",1,7,10,12,12,12
"43",1,7,11,11,11,13
"44",1,8,10,10,11,14
"45",1,9,9,9,13,13
